Site,Plot,Substrate,SA
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,94.2477
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,L,274.889125
400,108,W,314.159
400,108,W,502.6544
400,108,W,502.6544
400,108,W,502.6544
400,108,W,791.68068
400,108,W,942.477
400,108,W,942.477
400,108,W,1036.7247
400,108,W,1036.7247
400,108,W,1036.7247
400,108,W,1979.2017
400,108,W,18849.54
400,112,G,38902.78983
400,112,W,333.00854
400,112,W,439.8226
400,112,W,439.8226
400,112,W,628.318
400,112,W,942.477
400,112,W,945.61859
400,112,W,1256.636
400,112,W,21991.13
400,128,G,39912.85841
400,128,L,125.6636
400,128,L,125.6636
400,128,L,125.6636
400,128,L,125.6636
400,128,L,125.6636
400,128,L,368.3514275
400,128,L,368.3514275
400,128,L,368.3514275
400,128,L,368.3514275
400,128,L,368.3514275
400,128,L,368.3514275
400,128,L,368.3514275
400,128,L,368.3514275
400,128,L,368.3514275
400,128,L,368.3514275
400,128,L,368.3514275
400,128,W,62.8318
400,128,W,62.8318
400,128,W,62.8318
400,128,W,62.8318
400,128,W,263.89356
400,138,G,31296
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,L,127.234395
400,138,W,314.159
400,138,W,314.159
400,138,W,314.159
400,138,W,314.159
400,138,W,314.159
400,138,W,314.159
400,138,W,314.159
400,138,W,829.37976
400,138,W,2638.9356
400,138,W,3769.908
400,138,W,3769.908
400,138,W,14137.155
800,2,G,36916.90276
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,56.54862
800,2,L,119.38042
800,2,L,119.38042
800,2,L,119.38042
800,2,L,119.38042
800,2,L,119.38042
800,2,L,119.38042
800,2,L,119.38042
800,2,L,119.38042
800,2,L,119.38042
800,2,L,119.38042
800,2,L,164.933475
800,2,L,164.933475
800,2,L,164.933475
800,2,L,164.933475
800,2,L,164.933475
800,2,W,188.4954
800,2,W,314.159
800,2,W,345.5749
800,2,W,502.6544
800,2,W,785.3975
800,2,W,785.3975
800,2,W,848.2293
800,2,W,1413.7155
800,2,W,1413.7155
800,2,W,1658.75952
800,2,W,1727.8745
800,2,W,2513.272
800,2,W,3298.6695
800,2,W,4398.226
800,12,G,33117.50665
800,12,L,113.09724
800,12,L,113.09724
800,12,L,113.09724
800,12,L,113.09724
800,12,L,113.09724
800,12,L,120.951215
800,12,L,120.951215
800,12,L,120.951215
800,12,L,120.951215
800,12,L,120.951215
800,12,L,120.951215
800,12,L,120.951215
800,12,L,518.36235
800,12,L,518.36235
800,12,W,94.2477
800,12,W,94.2477
800,12,W,94.2477
800,12,W,94.2477
800,12,W,94.2477
800,12,W,232.47766
800,12,W,232.47766
800,12,W,376.9908
800,12,W,395.84034
800,12,W,439.8226
800,12,W,628.318
800,12,W,628.318
800,12,W,942.477
800,12,W,942.477
